Constituency_No,Year,Position,Sex,Party,Votes,Age,Candidate_Type,Constituency_Name,Constituency_Type,Vote_Share_Percentage,Margin,Margin_Percentage,Incumbent
158,2014,3,m,INC,26617,50.0,gen,JOGESHWARI EAST,GEN,16.51,14743,9.14,False
159,2014,1,m,SHS,56577,45.0,gen,DINDOSHI,GEN,35.47,19828,12.43,False
159,2014,2,m,INC,36749,56.0,gen,DINDOSHI,GEN,23.04,580,0.36,True
159,2014,3,m,BJP,36169,30.0,gen,DINDOSHI,GEN,22.67,21507,13.48,False
160,2014,1,m,BJP,72427,49.0,gen,KANDIVALI EAST,GEN,49.22,41188,27.99,False
160,2014,2,m,INC,31239,51.0,gen,KANDIVALI EAST,GEN,21.23,7854,5.34,True
160,2014,3,m,SHS,23385,42.0,gen,KANDIVALI EAST,GEN,15.89,10177,6.92,False
161,2014,1,m,BJP,96097,52.0,gen,CHARKOP,GEN,60.19,64367,40.32,True
161,2014,2,f,SHS,31730,64.0,gen,CHARKOP,GEN,19.87,9997,6.26,False
161,2014,3,m,INC,21733,60.0,gen,CHARKOP,GEN,13.61,16079,10.07,False
162,2014,1,m,INC,56574,45.0,gen,MALAD WEST,GEN,37.28,2303,1.52,True
162,2014,2,m,BJP,54271,69.0,gen,MALAD WEST,GEN,35.76,36383,23.97,False
162,2014,3,m,SHS,17888,38.0,gen,MALAD WEST,GEN,11.79,3463,2.28,False
163,2014,1,f,BJP,63629,53.0,gen,GOREGAON,GEN,38.85,4756,2.9,False
163,2014,2,m,SHS,58873,72.0,gen,GOREGAON,GEN,35.95,40459,24.7,True
163,2014,3,m,INC,18414,42.0,gen,GOREGAON,GEN,11.24,9127,5.57,False
164,2014,1,f,BJP,49182,48.0,gen,VERSOVA,GEN,41.94,26398,22.51,False
164,2014,2,m,INC,22784,70.0,gen,VERSOVA,GEN,19.43,2657,2.27,True
164,2014,3,m,AIMIM,20127,48.0,gen,VERSOVA,GEN,17.16,5619,4.79,False
165,2014,1,m,BJP,59022,38.0,gen,ANDHERI WEST,GEN,41.07,24040,16.73,False
165,2014,2,m,INC,34982,59.0,gen,ANDHERI WEST,GEN,24.34,8261,5.75,True
165,2014,3,m,SHS,26721,63.0,gen,ANDHERI WEST,GEN,18.6,13751,9.57,False
166,2014,1,m,SHS,52817,44.0,gen,ANDHERI EAST,GEN,34.52,5479,3.58,False
166,2014,2,m,BJP,47338,43.0,gen,ANDHERI EAST,GEN,30.94,9409,6.15,False
166,2014,3,m,INC,37929,59.0,gen,ANDHERI EAST,GEN,24.79,28509,18.63,False
167,2014,1,m,BJP,74270,47.0,gen,VILE PARLE,GEN,48.99,32435,21.39,False
167,2014,2,m,SHS,41835,59.0,gen,VILE PARLE,GEN,27.59,17644,11.64,False
167,2014,3,m,INC,24191,47.0,gen,VILE PARLE,GEN,15.96,18309,12.08,True
168,2014,1,m,INC,73141,50.0,gen,CHANDIVALI,GEN,39.51,29469,15.92,True
168,2014,2,m,SHS,43672,37.0,gen,CHANDIVALI,GEN,23.59,14994,8.1,False
168,2014,3,m,MNS,28678,44.0,sc,CHANDIVALI,GEN,15.49,8412,4.54,False
169,2014,1,m,BJP,80343,42.0,gen,GHATKOPAR WEST,GEN,50.29,41916,26.24,True
169,2014,2,m,SHS,38427,51.0,gen,GHATKOPAR WEST,GEN,24.05,21220,13.28,False
169,2014,3,m,MNS,17207,53.0,gen,GHATKOPAR WEST,GEN,10.77,7136,4.47,False
170,2014,1,m,BJP,67012,55.0,gen,GHATKOPAR EAST,GEN,47.9,40127,28.68,True
170,2014,2,m,SHS,26885,40.0,gen,GHATKOPAR EAST,GEN,19.22,5582,3.99,False
170,2014,3,m,INC,21303,50.0,gen,GHATKOPAR EAST,GEN,15.23,10832,7.74,False
171,2014,1,m,SP,41719,59.0,gen,MANKHURD SHIVAJI NAGAR,GEN,32.62,9937,7.77,True
171,2014,2,m,SHS,31782,54.0,gen,MANKHURD SHIVAJI NAGAR,GEN,24.85,4288,3.35,False
171,2014,3,m,INC,27494,59.0,gen,MANKHURD SHIVAJI NAGAR,GEN,21.5,21862,17.1,False
172,2014,1,m,SHS,39966,54.0,gen,ANUSHAKTI NAGAR,GEN,29.54,1007,0.74,False
172,2014,2,m,NCP,38959,55.0,gen,ANUSHAKTI NAGAR,GEN,28.8,15192,11.23,True
172,2014,3,m,BJP,23767,57.0,gen,ANUSHAKTI NAGAR,GEN,17.57,6152,4.55,False
173,2014,1,m,SHS,47410,55.0,sc,CHEMBUR,GEN,33.99,10027,7.19,False
173,2014,2,m,INC,37383,57.0,sc,CHEMBUR,GEN,26.8,768,0.55,True
173,2014,3,m,RPI(A),36615,47.0,sc,CHEMBUR,GEN,26.25,30783,22.07,False
174,2014,1,m,SHS,41580,43.0,sc,KURLA,SC,31.04,12679,9.47,False
174,2014,2,m,BJP,28901,74.0,sc,KURLA,SC,21.57,3160,2.36,False
174,2014,3,m,AIMIM,25741,30.0,sc,KURLA,SC,19.22,11547,8.62,False
175,2014,1,m,SHS,30715,58.0,gen,KALINA,GEN,24.21,1297,1.02,False
175,2014,2,m,BJP,29418,49.0,gen,KALINA,GEN,23.19,5823,4.59,False
175,2014,3,m,INC,23595,64.0,gen,KALINA,GEN,18.6,5451,4.3,True
176,2014,1,m,SHS,41388,64.0,gen,VANDRE EAST,GEN,33.23,15597,12.52,True
176,2014,2,m,BJP,25791,35.0,gen,VANDRE EAST,GEN,20.71,1815,1.46,False
176,2014,3,m,AIMIM,23976,48.0,gen,VANDRE EAST,GEN,19.25,11747,9.43,False
177,2014,1,m,BJP,74779,42.0,gen,VANDRE WEST,GEN,50.93,26911,18.33,False
177,2014,2,m,INC,47868,56.0,gen,VANDRE WEST,GEN,32.6,33712,22.96,True
177,2014,3,m,SHS,14156,55.0,gen,VANDRE WEST,GEN,9.64,11040,7.52,False
178,2014,1,f,INC,47718,39.0,sc,DHARAVI,SC,40.38,15328,12.97,True
178,2014,2,m,SHS,32390,61.0,sc,DHARAVI,SC,27.41,11627,9.84,False
178,2014,3,f,BJP,20763,40.0,sc,DHARAVI,SC,17.57,15430,13.06,False
179,2014,1,m,BJP,40869,57.0,gen,SION KOLIWADA,GEN,30.5,3738,2.79,False
179,2014,2,m,SHS,37131,47.0,gen,SION KOLIWADA,GEN,27.71,14024,10.47,False
179,2014,3,m,INC,23107,69.0,gen,SION KOLIWADA,GEN,17.24,11338,8.46,True
180,2014,1,m,INC,38540,61.0,gen,WADALA,GEN,31.88,800,0.66,True
180,2014,2,m,BJP,37740,40.0,gen,WADALA,GEN,31.22,5660,4.68,False
180,2014,3,m,SHS,32080,61.0,gen,WADALA,GEN,26.54,25857,21.39,False
181,2014,1,m,SHS,46291,58.0,gen,MAHIM,GEN,33.97,5941,4.36,False
181,2014,2,m,MNS,40350,50.0,gen,MAHIM,GEN,29.61,6904,5.07,False
181,2014,3,m,BJP,33446,37.0,gen,MAHIM,GEN,24.55,21529,15.8,False
182,2014,1,m,SHS,60625,51.0,gen,WORLI,GEN,40.9,23012,15.53,False
182,2014,2,m,NCP,37613,42.0,gen,WORLI,GEN,25.38,6764,4.56,True
182,2014,3,m,BJP,30849,51.0,gen,WORLI,GEN,20.81,22426,15.13,False
183,2014,1,m,SHS,72462,61.0,gen,SHIVADI,GEN,49.27,41909,28.49,False
183,2014,2,m,MNS,30553,56.0,gen,SHIVADI,GEN,20.77,8632,5.87,True
183,2014,3,f,BJP,21921,54.0,gen,SHIVADI,GEN,14.9,9189,6.25,False
184,2014,1,m,AIMIM,25314,48.0,gen,BYCULLA,GEN,20.33,1357,1.09,False
184,2014,2,m,BJP,23957,67.0,gen,BYCULLA,GEN,19.24,1936,1.55,False
184,2014,3,m,INC,22021,63.0,gen,BYCULLA,GEN,17.68,1126,0.9,True
185,2014,1,m,BJP,97818,58.0,gen,MALABAR HILL,GEN,67.05,68686,47.08,True
185,2014,2,m,SHS,29132,54.0,gen,MALABAR HILL,GEN,19.97,18204,12.48,False
185,2014,3,f,INC,10928,49.0,gen,MALABAR HILL,GEN,7.49,7003,4.8,False
186,2014,1,m,INC,39188,51.0,gen,MUMBA DEVI,GEN,35.55,8513,7.72,True
186,2014,2,m,BJP,30675,57.0,gen,MUMBA DEVI,GEN,27.83,14510,13.16,False
186,2014,3,m,AIMIM,16165,52.0,gen,MUMBA DEVI,GEN,14.67,686,0.62,False
187,2014,1,m,BJP,52608,59.0,gen,COLABA,GEN,44.86,23787,20.28,False
187,2014,2,m,SHS,28821,51.0,gen,COLABA,GEN,24.57,8411,7.17,False
187,2014,3,f,INC,20410,75.0,gen,COLABA,GEN,17.4,14444,12.32,True
188,2014,1,m,BJP,125142,40.0,gen,PANVEL,GEN,44.16,13215,4.66,True
188,2014,2,m,PWPI,111927,50.0,gen,PANVEL,GEN,39.5,93974,33.16,False
188,2014,3,m,SHS,17953,40.0,gen,PANVEL,GEN,6.34,8684,3.06,False
189,2014,1,m,NCP,57013,58.0,gen,KARJAT,GEN,31.12,1900,1.04,True
189,2014,2,m,PWPI,55113,41.0,gen,KARJAT,GEN,30.08,14392,7.85,False
189,2014,3,m,SHS,40721,53.0,gen,KARJAT,GEN,22.22,27731,15.14,False
190,2014,1,m,SHS,56131,53.0,gen,URAN,GEN,28.36,811,0.41,False
190,2014,2,m,PWPI,55320,59.0,gen,URAN,GEN,27.95,21067,10.65,False
190,2014,3,m,INC,34253,47.0,gen,URAN,GEN,17.31,1621,0.82,False
191,2014,1,m,PWPI,64616,43.0,gen,PEN,GEN,31.92,4120,2.04,True
191,2014,2,m,INC,60496,64.0,gen,PEN,GEN,29.88,16245,8.02,False
191,2014,3,m,SHS,44251,48.0,gen,PEN,GEN,21.86,32864,16.23,False
192,2014,1,m,PWPI,76959,56.0,gen,ALIBAG,GEN,38.02,16094,7.95,False
192,2014,2,m,SHS,60865,49.0,gen,ALIBAG,GEN,30.07,15012,7.42,False
192,2014,3,m,INC,45853,67.0,gen,ALIBAG,GEN,22.65,39799,19.66,False
193,2014,1,m,NCP,61038,35.0,gen,SHRIVARDHAN,GEN,40.43,77,0.05,False
193,2014,2,m,SHS,60961,51.0,gen,SHRIVARDHAN,GEN,40.38,49666,32.9,False
193,2014,3,m,BJP,11295,55.0,gen,SHRIVARDHAN,GEN,7.48,5710,3.78,False
194,2014,1,m,SHS,94408,51.0,gen,MAHAD,GEN,52.13,21256,11.74,False
194,2014,2,m,INC,73152,47.0,gen,MAHAD,GEN,40.39,69894,38.59,False
194,2014,3,m,NCP,3258,46.0,gen,MAHAD,GEN,1.8,192,0.11,False
195,2014,1,m,MNS,60305,42.0,gen,JUNNAR,GEN,30.61,16923,8.59,False
195,2014,2,f,SHS,43382,48.0,gen,JUNNAR,GEN,22.02,2812,1.43,False
195,2014,3,m,NCP,40570,34.0,gen,JUNNAR,GEN,20.59,18115,9.2,False
196,2014,1,m,NCP,120235,58.0,gen,AMBEGAON,GEN,62.12,58154,30.05,True
196,2014,2,m,SHS,62081,45.0,gen,AMBEGAON,GEN,32.08,57466,29.69,False
196,2014,3,m,BJP,4615,52.0,gen,AMBEGAON,GEN,2.38,2207,1.14,False
197,2014,1,m,SHS,103207,50.0,gen,KHED ALANDI,GEN,51.59,32718,16.36,False
197,2014,2,m,NCP,70489,55.0,gen,KHED ALANDI,GEN,35.24,53935,26.96,True
197,2014,3,m,BJP,16554,38.0,gen,KHED ALANDI,GEN,8.28,14580,7.29,False
198,2014,1,m,BJP,92579,63.0,gen,SHIRUR,GEN,42.82,10941,5.06,False
198,2014,2,m,NCP,81638,56.0,gen,SHIRUR,GEN,37.76,64451,29.81,True
198,2014,3,m,SHS,17187,46.0,gen,SHIRUR,GEN,7.95,3566,1.65,False
199,2014,1,m,RSPS,87649,37.0,gen,DAUND,GEN,43.95,11345,5.69,False
199,2014,2,m,NCP,76304,63.0,gen,DAUND,GEN,38.26,59206,29.69,False
199,2014,3,m,MNS,17098,35.0,gen,DAUND,GEN,8.57,11538,5.79,False
200,2014,1,m,NCP,108400,46.0,gen,INDAPUR,GEN,49.72,14173,6.5,False
200,2014,2,m,INC,94227,51.0,gen,INDAPUR,GEN,43.22,89967,41.26,True
200,2014,3,m,BJP,4260,41.0,gen,INDAPUR,GEN,1.95,2076,0.95,False
201,2014,1,m,NCP,150588,55.0,gen,BARAMATI,GEN,65.98,89791,39.34,True
201,2014,2,m,BJP,60797,58.0,gen,BARAMATI,GEN,26.64,56711,24.85,False
201,2014,3,m,SHS,4086,44.0,gen,BARAMATI,GEN,1.79,73,0.03,False
202,2014,1,m,SHS,82339,54.0,gen,PURANDAR,GEN,38.91,8590,4.06,False
202,2014,2,m,INC,73749,38.0,gen,PURANDAR,GEN,34.85,45682,21.59,False
202,2014,3,m,NCP,28067,53.0,gen,PURANDAR,GEN,13.26,9149,4.32,False
203,2014,1,m,INC,78602,36.0,gen,BHOR,GEN,35.96,18951,8.67,True
203,2014,2,m,SHS,59651,35.0,gen,BHOR,GEN,27.29,9486,4.34,False
203,2014,3,m,NCP,50165,32.0,gen,BHOR,GEN,22.95,25725,11.77,False
204,2014,1,m,BJP,95319,38.0,gen,MAVAL,GEN,45.76,28001,13.44,True
204,2014,2,m,NCP,67318,70.0,gen,MAVAL,GEN,32.32,49694,23.86,False
204,2014,3,m,INC,17624,44.0,gen,MAVAL,GEN,8.46,239,0.11,False
205,2014,1,m,BJP,123786,51.0,gen,CHINCHWAD,GEN,45.42,60297,22.12,True
205,2014,2,m,SHS,63489,37.0,gen,CHINCHWAD,GEN,23.29,20936,7.68,False
205,2014,3,m,NCP,42553,40.0,gen,CHINCHWAD,GEN,15.61,28601,10.49,False
206,2014,1,m,SHS,51096,55.0,sc,PIMPRI,SC,28.88,2335,1.32,False
206,2014,2,m,NCP,48761,46.0,sc,PIMPRI,SC,27.56,1473,0.83,False
206,2014,3,f,RPI(A),47288,44.0,sc,PIMPRI,SC,26.73,36266,20.5,False
207,2014,1,m,IND,60173,38.0,gen,BHOSARI,GEN,27.19,15316,6.92,False
207,2014,2,f,SHS,44857,43.0,gen,BHOSARI,GEN,20.27,646,0.29,False
207,2014,3,m,NCP,44211,52.0,gen,BHOSARI,GEN,19.98,585,0.26,True
208,2014,1,m,BJP,66908,33.0,gen,VADGAOL SHERI,GEN,30.23,5325,2.41,False
208,2014,2,m,SHS,61583,42.0,gen,VADGAOL SHERI,GEN,27.83,17103,7.73,False
208,2014,3,m,NCP,44480,54.0,gen,VADGAOL SHERI,GEN,20.1,25650,11.59,True
209,2014,1,m,BJP,56460,55.0,gen,SHIVAJINAGAR,GEN,38.03,22047,14.85,False
209,2014,2,m,INC,34413,51.0,gen,SHIVAJINAGAR,GEN,23.18,10240,6.9,True
209,2014,3,m,NCP,24173,48.0,gen,SHIVAJINAGAR,GEN,16.28,9511,6.41,False
210,2014,1,f,BJP,100941,44.0,gen,KOTHRUD,GEN,51.15,64662,32.77,False
210,2014,2,m,SHS,36279,46.0,gen,KOTHRUD,GEN,18.38,8100,4.1,True
210,2014,3,m,NCP,28179,54.0,gen,KOTHRUD,GEN,14.28,6787,3.44,False
211,2014,1,m,BJP,111531,54.0,gen,KHADAKWASALA,GEN,47.43,63026,26.8,False
211,2014,2,m,NCP,48505,54.0,gen,KHADAKWASALA,GEN,20.63,13929,5.92,False
211,2014,3,m,MNS,34576,41.0,gen,KHADAKWASALA,GEN,14.7,10055,4.28,False
212,2014,1,f,BJP,95583,50.0,gen,PARVATI,GEN,50.37,69090,36.41,True
212,2014,2,m,SHS,26493,40.0,gen,PARVATI,GEN,13.96,369,0.19,False
212,2014,3,m,NCP,26124,52.0,gen,PARVATI,GEN,13.77,4217,2.22,False
213,2014,1,m,BJP,82629,40.0,gen,HADAPSAR,GEN,37.87,30248,13.86,False
213,2014,2,m,SHS,52381,50.0,gen,HADAPSAR,GEN,24.01,22434,10.28,True
213,2014,3,m,NCP,29947,43.0,gen,HADAPSAR,GEN,13.72,4741,2.17,False
214,2014,1,m,BJP,54692,52.0,sc,PUNE CANTONMENT,SC,39.65,14955,10.84,False
214,2014,2,m,INC,39737,60.0,sc,PUNE CANTONMENT,SC,28.81,23229,16.84,True
214,2014,3,m,SHS,16508,44.0,sc,PUNE CANTONMENT,SC,11.97,1866,1.35,False
215,2014,1,m,BJP,73594,63.0,gen,KASBA PETH,GEN,43.44,42272,24.95,False
215,2014,2,m,INC,31322,35.0,gen,KASBA PETH,GEN,18.49,5324,3.14,False
215,2014,3,m,MNS,25998,47.0,gen,KASBA PETH,GEN,15.35,10133,5.98,False
216,2014,1,m,NCP,67696,40.0,st,AKOLE,ST,42.03,20062,12.45,False
216,2014,2,m,SHS,47634,53.0,st,AKOLE,ST,29.57,20188,12.53,False
216,2014,3,m,BJP,27446,50.0,st,AKOLE,ST,17.04,15585,9.68,False
217,2014,1,m,INC,103564,61.0,gen,SANGAMNER,GEN,56.88,58805,32.3,True
217,2014,2,m,SHS,44759,35.0,gen,SANGAMNER,GEN,24.58,19752,10.85,False
217,2014,3,m,BJP,25007,45.0,gen,SANGAMNER,GEN,13.73,22357,12.28,False
218,2014,1,m,INC,121459,55.0,gen,SHIRDI,GEN,63.11,74662,38.79,True
218,2014,2,m,SHS,46797,45.0,gen,SHIRDI,GEN,24.31,29514,15.33,False
218,2014,3,m,BJP,17283,41.0,gen,SHIRDI,GEN,8.98,14095,7.32,False
219,2014,1,f,BJP,99763,43.0,gen,KOPARGAON,GEN,50.78,29270,14.9,False
219,2014,2,m,SHS,70493,29.0,gen,KOPARGAON,GEN,35.88,50907,25.91,False
219,2014,3,m,INC,19586,48.0,gen,KOPARGAON,GEN,9.97,17381,8.85,False
220,2014,1,m,INC,57118,59.0,sc,SHRIRAMPUR,SC,31.31,11484,6.3,True
220,2014,2,m,BJP,45634,64.0,sc,SHRIRAMPUR,SC,25.02,8054,4.42,False
220,2014,3,m,SHS,37580,60.0,sc,SHRIRAMPUR,SC,20.6,2485,1.36,False
221,2014,1,m,BJP,84570,46.0,gen,NEVASA,GEN,47.46,4659,2.61,False
221,2014,2,m,NCP,79911,44.0,gen,NEVASA,GEN,44.84,75145,42.17,True
221,2014,3,m,SHS,4766,60.0,gen,NEVASA,GEN,2.67,2627,1.47,False
222,2014,1,f,BJP,134685,42.0,gen,SHEVGAON,GEN,58.53,53185,23.11,False
222,2014,2,m,NCP,81500,49.0,gen,SHEVGAON,GEN,35.42,77980,33.89,True
222,2014,3,m,SHS,3520,62.0,gen,SHEVGAON,GEN,1.53,1579,0.69,False
223,2014,1,m,BJP,91454,56.0,gen,RAHURI,GEN,47.09,25676,13.22,True
223,2014,2,f,SHS,65778,64.0,gen,RAHURI,GEN,33.87,41635,21.44,False
223,2014,3,m,NCP,24143,51.0,gen,RAHURI,GEN,12.43,20068,10.33,False
224,2014,1,m,SHS,73263,57.0,gen,PARNER,GEN,36.35,27422,13.61,True
224,2014,2,m,NCP,45841,36.0,gen,PARNER,GEN,22.75,19,0.01,False
224,2014,3,m,IND,45822,51.0,gen,PARNER,GEN,22.74,21772,10.8,False
225,2014,1,m,NCP,49378,29.0,gen,AHMEDNAGAR CITY,GEN,29.79,3317,2.0,False
225,2014,2,m,SHS,46061,64.0,gen,AHMEDNAGAR CITY,GEN,27.79,6148,3.71,True
225,2014,3,m,BJP,39913,53.0,gen,AHMEDNAGAR CITY,GEN,24.08,12837,7.74,False
226,2014,1,m,NCP,99281,26.0,gen,SHRIGONDA,GEN,45.74,13637,6.28,False
226,2014,2,m,BJP,85644,61.0,gen,SHRIGONDA,GEN,39.46,63590,29.3,True
226,2014,3,m,SHS,22054,57.0,gen,SHRIGONDA,GEN,10.16,16941,7.8,False
227,2014,1,m,BJP,84058,47.0,gen,KARJAT JAMKHED,GEN,43.04,37816,19.36,True
227,2014,2,m,SHS,46242,55.0,gen,KARJAT JAMKHED,GEN,23.68,78,0.04,False
227,2014,3,m,NCP,46164,53.0,gen,KARJAT JAMKHED,GEN,23.64,36687,18.78,False
228,2014,1,m,BJP,136384,40.0,gen,GEORAI,GEN,57.95,60001,25.5,False
228,2014,2,m,NCP,76383,59.0,gen,GEORAI,GEN,32.46,69771,29.65,True
228,2014,3,m,INC,6612,45.0,gen,GEORAI,GEN,2.81,2188,0.93,False
229,2014,1,m,BJP,112497,57.0,gen,MAJALGAON,GEN,52.61,37245,17.42,False
229,2014,2,m,NCP,75252,61.0,gen,MAJALGAON,GEN,35.19,70394,32.92,True
229,2014,3,m,INC,4858,38.0,gen,MAJALGAON,GEN,2.27,909,0.43,False
230,2014,1,m,NCP,77134,64.0,gen,BEED,GEN,38.08,6132,3.03,True
230,2014,2,m,BJP,71002,51.0,gen,BEED,GEN,35.05,40311,19.9,False
230,2014,3,m,SHS,30691,44.0,gen,BEED,GEN,15.15,21901,10.81,False
231,2014,1,m,BJP,120915,58.0,gen,ASHTI,GEN,48.27,5982,2.39,False
231,2014,2,m,NCP,114933,44.0,gen,ASHTI,GEN,45.88,111577,44.54,True
231,2014,3,f,INC,3356,44.0,gen,ASHTI,GEN,1.34,558,0.22,False
232,2014,1,f,BJP,106834,36.0,sc,KAIJ,SC,49.68,42721,19.87,False
232,2014,2,f,NCP,64113,25.0,sc,KAIJ,SC,29.82,41102,19.11,False
232,2014,3,f,INC,23011,31.0,sc,KAIJ,SC,10.7,14545,6.76,False
233,2014,1,f,BJP,96904,35.0,gen,PARLI,GEN,49.56,25895,13.24,True
233,2014,2,m,NCP,71009,39.0,gen,PARLI,GEN,36.32,56063,28.67,False
233,2014,3,m,INC,14946,51.0,gen,PARLI,GEN,7.64,11893,6.08,False
234,2014,1,m,INC,100897,49.0,gen,LATUR RURAL,GEN,49.1,10510,5.11,False
234,2014,2,m,BJP,90387,46.0,gen,LATUR RURAL,GEN,43.99,87302,42.49,False
234,2014,3,m,SHS,3085,38.0,gen,LATUR RURAL,GEN,1.5,300,0.15,False
235,2014,1,m,INC,119656,38.0,gen,LATUR CITY,GEN,58.82,49465,24.31,True
235,2014,2,m,BJP,70191,43.0,gen,LATUR CITY,GEN,34.5,66144,32.51,False
235,2014,3,m,NCP,4047,46.0,gen,LATUR CITY,GEN,1.99,1724,0.85,False
236,2014,1,m,IND,61957,53.0,gen,AHMADPUR,GEN,30.35,4006,1.96,False
236,2014,2,m,NCP,57951,56.0,gen,AHMADPUR,GEN,28.39,4032,1.98,True
236,2014,3,m,BJP,53919,59.0,gen,AHMADPUR,GEN,26.41,42515,20.83,False
237,2014,1,m,BJP,66686,45.0,sc,UDGIR,SC,39.2,24894,14.63,True
237,2014,2,m,NCP,41792,41.0,sc,UDGIR,SC,24.57,3955,2.33,False
237,2014,3,m,INC,37837,53.0,sc,UDGIR,SC,22.24,22419,13.18,False
238,2014,1,m,BJP,76817,37.0,gen,NILANGA,GEN,39.68,27511,14.21,False
238,2014,2,m,INC,49306,49.0,gen,NILANGA,GEN,25.47,31631,16.34,True
238,2014,3,m,MVA,17675,54.0,gen,NILANGA,GEN,9.13,1526,0.79,False
239,2014,1,m,INC,64237,58.0,gen,AUSA,GEN,36.72,8858,5.06,True
239,2014,2,m,SHS,55379,53.0,gen,AUSA,GEN,31.66,17965,10.27,False
239,2014,3,m,BJP,37414,57.0,gen,AUSA,GEN,21.39,31485,18.0,False
240,2014,1,m,SHS,65178,44.0,sc,UMARGA,SC,39.99,20442,12.54,True
240,2014,2,m,INC,44736,56.0,sc,UMARGA,SC,27.45,14215,8.72,False
240,2014,3,m,BJP,30521,50.0,sc,UMARGA,SC,18.72,14952,9.17,False
241,2014,1,m,INC,70701,77.0,gen,TULJAPUR,GEN,32.52,29610,13.62,True
241,2014,2,m,NCP,41091,60.0,gen,TULJAPUR,GEN,18.9,4711,2.17,False
241,2014,3,m,BJP,36380,52.0,gen,TULJAPUR,GEN,16.73,485,0.22,False
242,2014,1,m,NCP,88469,42.0,gen,OSMANABAD,GEN,40.87,10806,4.99,False
242,2014,2,m,SHS,77663,31.0,gen,OSMANABAD,GEN,35.88,51582,23.83,True
242,2014,3,m,BJP,26081,49.0,gen,OSMANABAD,GEN,12.05,17000,7.85,False
243,2014,1,m,NCP,78548,38.0,gen,PARANDA,GEN,39.85,12389,6.29,True
243,2014,2,m,SHS,66159,47.0,gen,PARANDA,GEN,33.56,28835,14.63,False
243,2014,3,m,RSPS,37324,58.0,gen,PARANDA,GEN,18.94,29564,15.0,False
244,2014,1,m,SHS,60674,48.0,gen,KARMALA,GEN,29.94,257,0.13,False
244,2014,2,f,NCP,60417,29.0,gen,KARMALA,GEN,29.81,2040,1.01,True
244,2014,3,m,SWP,58377,46.0,gen,KARMALA,GEN,28.8,44029,21.72,False
245,2014,1,m,NCP,97803,63.0,gen,MADHA,GEN,43.82,35778,16.03,True
245,2014,2,m,INC,62025,41.0,gen,MADHA,GEN,27.79,21409,9.59,False
245,2014,3,m,SHS,40616,54.0,gen,MADHA,GEN,18.2,26467,11.86,False
246,2014,1,m,NCP,97655,64.0,gen,BARSHI,GEN,45.74,5111,2.39,True
246,2014,2,m,SHS,92544,45.0,gen,BARSHI,GEN,43.35,76038,35.62,False
246,2014,3,m,BJP,16506,49.0,gen,BARSHI,GEN,7.73,14754,6.91,False
247,2014,1,m,NCP,62120,42.0,sc,MOHOL,SC,32.42,8367,4.37,False
247,2014,2,m,BJP,53753,42.0,sc,MOHOL,SC,28.05,11275,5.88,False
247,2014,3,m,SHS,42478,40.0,sc,MOHOL,SC,22.17,30464,15.9,False
248,2014,1,m,BJP,86877,57.0,gen,SOLAPUR CITY NORTH,GEN,56.73,68878,44.97,True
248,2014,2,m,NCP,17999,47.0,gen,SOLAPUR CITY NORTH,GEN,11.75,3543,2.31,False
248,2014,3,m,INC,14456,55.0,gen,SOLAPUR CITY NORTH,GEN,9.44,2098,1.37,False
249,2014,1,f,INC,46907,33.0,sc,SOLAPUR CITY CENTRAL,GEN,28.9,9769,6.02,True
249,2014,2,m,AIMIM,37138,45.0,gen,SOLAPUR CITY CENTRAL,GEN,22.88,3804,2.34,False
249,2014,3,m,SHS,33334,50.0,gen,SOLAPUR CITY CENTRAL,GEN,20.54,10015,6.17,False
250,2014,1,m,INC,97333,53.0,gen,AKKALKOT,GEN,45.71,17644,8.29,False
250,2014,2,m,BJP,79689,74.0,gen,AKKALKOT,GEN,37.43,57038,26.79,True
250,2014,3,m,MNS,22651,34.0,gen,AKKALKOT,GEN,10.64,18760,8.81,False
251,2014,1,m,BJP,70077,57.0,gen,SOLAPUR SOUTH,GEN,40.37,27123,15.62,False
251,2014,2,m,INC,42954,54.0,gen,SOLAPUR SOUTH,GEN,24.74,28766,16.57,True
251,2014,3,m,SHS,14188,33.0,gen,SOLAPUR SOUTH,GEN,8.17,1825,1.05,False
252,2014,1,m,INC,91863,54.0,gen,PANDHARPUR,GEN,40.08,8913,3.89,True
252,2014,2,m,SWP,82950,49.0,gen,PANDHARPUR,GEN,36.19,42040,18.34,False
252,2014,3,m,SHS,40910,38.0,gen,PANDHARPUR,GEN,17.85,37835,16.51,False
253,2014,1,m,PWPI,94374,87.0,gen,SANGOLE,GEN,47.64,25224,12.73,True
253,2014,2,m,SHS,69150,58.0,gen,SANGOLE,GEN,34.91,55076,27.8,False
253,2014,3,m,BJP,14074,46.0,gen,SANGOLE,GEN,7.1,6630,3.35,False
254,2014,1,m,NCP,77179,52.0,sc,MALSHIRAS,SC,37.91,6245,3.07,True
254,2014,2,m,IND,70934,32.0,sc,MALSHIRAS,SC,34.84,47397,23.28,False
254,2014,3,m,SHS,23537,54.0,sc,MALSHIRAS,SC,11.56,15901,7.81,False
255,2014,1,m,NCP,92910,43.0,sc,PHALTAN,SC,46.3,33568,16.73,True
255,2014,2,m,INC,59342,32.0,sc,PHALTAN,SC,29.57,34813,17.35,False
255,2014,3,m,SWP,24529,62.0,sc,PHALTAN,SC,12.22,8825,4.4,False
