Paragraph,cleaned_text
"Exclusive Economic Times Stories, Editorials & Expert opinion across 20+ sectors",exclusive economic time story editorial expert opinion across sector
Stock analysis. Market Research. Industry Trends on 4000+ Stocks,stock analysis market research industry trend stock
​Get 1 Year Complimentary Subscription of TOI+ worth Rs.799/-​,get year complimentary subscription toi worth r
Stories you might be interested in,story might interested
LoadingPlease wait...,loadingplease wait
"These cookies may be set through our site by our advertising partners. They may be used by those companies to build a profile of your interests and show you relevant adverts on other sites. They do not store directly personal information, but are based on uniquely identifying your browser and internet device. If you do not allow these cookies, you will experience less targeted advertising.",cooky may set site advertising partner may used company build profile interest show relevant advert site store directly personal information based uniquely identifying browser internet device allow cooky experience le targeted advertising
These cookies enable the website to provide enhanced functionality and personalisation. They may be set by us or by third party providers whose services we have added to our pages. If you do not allow these cookies then some or all of these services may not function properly.,cooky enable website provide enhanced functionality personalisation may set u third party provider whose service added page allow cooky service may function properly
"These cookies allow us to count visits and traffic sources so we can measure and improve the performance of our site. They help us to know which pages are the most and least popular and see how visitors move around the site. All information these cookies collect is aggregated and therefore anonymous. If you do not allow these cookies we will not know when you have visited our site, and will not be able to monitor its performance.",cooky allow u count visit traffic source measure improve performance site help u know page least popular see visitor move around site information cooky collect aggregated therefore anonymous allow cooky know visited site able monitor performance
"These cookies are necessary for the website to function and cannot be switched off in our systems. They are usually only set in response to actions made by you which amount to a request for services, such as setting your privacy preferences, logging in or filling in forms. You can set your browser to block or alert you about these cookies, but some parts of the site will not then work. These cookies do not store any personally identifiable information.",cooky necessary website function switched system usually set response action made amount request service setting privacy preference logging filling form set browser block alert cooky part site work cooky store personally identifiable information
,
To enjoy additional benefits,enjoy additional benefit
CONNECT WITH US,connect u
"
					Copyright© 2024, THG PUBLISHING PVT LTD. or its affiliated companies. All rights reserved.
				",copyright thg publishing pvt ltd affiliated company right reserved
BACK TO TOP,back top
Terms & conditions  |  Institutional Subscriber,term condition institutional subscriber
To enjoy additional benefits,enjoy additional benefit
CONNECT WITH US,connect u
"Updated  - November 02, 2024 02:19 am IST - MUMBAI:",updated november ist mumbai
"
                    Shiv Sena supporters during the nomination filing rally of a party candidate . File
                                          | Photo Credit: PTI
                                      ",shiv sena supporter nomination filing rally party candidate file photo credit pti
" With rebellions, internal squabbles within the Mahayuti and the Maha Vikas Aghadi (MVA), and the several nominations which have been filed, Maharashtra Assembly elections, slated to take place in a single phase on November 20, have confounded many pollsters. Just like the confusion about the seat-sharing formula, the fights will also be clearer only once the last day of the withdrawal of nominations on November 4 is over. Currently, looking at the several nominations which have been filed by the official candidates, rebel independent candidates and the smaller parties, Maharashtra is slated to have many multi-cornered fights. ",rebellion internal squabble within mahayuti maha vikas aghadi mva several nomination filed maharashtra assembly election slated take place single phase november confounded many pollster like confusion seatsharing formula fight also clearer last day withdrawal nomination november currently looking several nomination filed official candidate rebel independent candidate smaller party maharashtra slated many multicornered fight
"Interestingly, despite the agrarian distress, the unemployment levels, these may not become poll issues, say experts. The key to power will likely be decided by Vidarbha where both the Congress and the BJP are directly pitted against each other. The party which will dominate in the 62 seats in Vidarbha will likely hold the key to Maharashtra’s power equation.",interestingly despite agrarian distress unemployment level may become poll issue say expert key power likely decided vidarbha congress bjp directly pitted party dominate seat vidarbha likely hold key maharashtra power equation
"This is the first State election where the factions of the Shiv Sena and the Nationalist Congress Party will contest in an all-stakes fight against each other in their traditional strongholds. Sharad Pawar, whose party is fighting in 87 seats, will push to maintain his stronghold on the sugar-rich western Maharashtra belt. The land of education and sugar barons holds key to 70 of the 288 seats. Ajit Pawar-led NCP will fight in over 53 seats. “There seems to be a clear advantage to Sharad Pawar, particularly in western Maharashtra. He has chosen the candidates very strategically. He has good support in the younger population. In terms of the appeasement of communities as well, he has given tickets to Marathas and Dhangars to get his poll equations right,” said Vivek Bhavsar, political commentator and senior journalist.",first state election faction shiv sena nationalist congress party contest allstakes fight traditional stronghold sharad pawar whose party fighting seat push maintain stronghold sugarrich western maharashtra belt land education sugar baron hold key seat ajit pawarled ncp fight seat seems clear advantage sharad pawar particularly western maharashtra chosen candidate strategically good support younger population term appeasement community well given ticket maratha dhangars get poll equation right said vivek bhavsar political commentator senior journalist
"“This time, it isn’t one election in Maharashtra. The State faces 288 elections in 288 constituencies. It will truly be an unprecedented election which will be a nightmare for the pollsters as nobody is in a position to predict the outcome. My assessment is, like the 1999 elections, there will be several independent candidates who will emerge as winners. And after the results, they will become the kingmakers, leading to the possibility of horse-trading. Even smaller margins will flip the game in the State,” Girish Kuber, Editor, Loksatta, told The Hindu.",time isnt one election maharashtra state face election constituency truly unprecedented election nightmare pollster nobody position predict outcome assessment like election several independent candidate emerge winner result become kingmaker leading possibility horsetrading even smaller margin flip game state girish kuber editor loksatta told hindu
"The Mahayuti government banks on the success of the Mukhyamantri Majhi Ladki Bahin Yojana to garner the votes of women. “It will primarily help [Chief Minister] Eknath Shinde, who has aggressively campaigned for it as his scheme,” said Mr. Bhavsar. And because the BJP has done an outreach towards several smaller communities, particularly reaching out to the OBCs; the Kunbis and the OBCs might lend their support to the BJP. But none of the political parties, particularly in the Opposition, seem to be speaking about the issues related to agriculture or youth employment.",mahayuti government bank success mukhyamantri majhi ladki bahin yojana garner vote woman primarily help chief minister eknath shinde aggressively campaigned scheme said mr bhavsar bjp done outreach towards several smaller community particularly reaching obcs kunbis obcs might lend support bjp none political party particularly opposition seem speaking issue related agriculture youth employment
"“Unfortunately, this looks to be an issue-less election. There is not a single issue that will stand out. There are serious issues like agrarian crisis, Maharashtra’s decline in overall industrialisation, social tension. But none of them will get reflected in this election,” Mr. Kuber said.",unfortunately look issueless election single issue stand serious issue like agrarian crisis maharashtra decline overall industrialisation social tension none get reflected election mr kuber said
"The Congress and the MVA have claimed that they will be able to carry ahead the momentum of the Lok Sabha election results where the MVA had received wider support as compared to the Mahayuti. But months after the elections, that impact seems to have weaned away, say experts. While the Congress feels encouraged that it will lead in the Vidarbha region where it is confident of moving ahead of the BJP, the BJP feels it will be able to work its way through the region. “I don’t see the effect of Lok Sabha elections. Had the Maharashtra elections been held with the Haryana elections, things would have been different. But now, welfarism will come into play,” said Mr. Kuber, adding that the Manoj Jarange Patil factor might not have a wider impact on the election results.",congress mva claimed able carry ahead momentum lok sabha election result mva received wider support compared mahayuti month election impact seems weaned away say expert congress feel encouraged lead vidarbha region confident moving ahead bjp bjp feel able work way region dont see effect lok sabha election maharashtra election held haryana election thing would different welfarism come play said mr kuber adding manoj jarange patil factor might wider impact election result
" Published - November 01, 2024 11:04 pm IST",published november pm ist
"
                        Maharashtra Assembly Elections 2024
                    
                            /                      
                        
                        Maharashtra
                    
                            /                      
                        
                        alliances and coalition
                    
                            /                      
                        
                        Shiv Sena-Uddhav Balasaheb Thackeray
                    
                            /                      
                        
                        Shiv Sena
                    
                            /                      
                        
                        Nationalist Congress Party
                    
                            /                      
                        
                        Bharatiya Janata Party
                    
                            /                      
                        
                        Indian National Congress
                    ",maharashtra assembly election maharashtra alliance coalition shiv senauddhav balasaheb thackeray shiv sena nationalist congress party bharatiya janata party indian national congress
"
					Copyright© 2024, THG PUBLISHING PVT LTD. or its affiliated companies. All rights reserved.
				",copyright thg publishing pvt ltd affiliated company right reserved
BACK TO TOP,back top
Terms & conditions  |  Institutional Subscriber,term condition institutional subscriber
"Comments have to be in English, and in full sentences. They cannot be abusive or personal. Please abide by our community guidelines   for posting your comments. ",comment english full sentence abusive personal please abide community guideline posting comment
"We have migrated to a new commenting platform. If you are already a registered user of The Hindu and logged in, you may continue to engage with our articles. If you do not have an account please register and login to post comments. Users can access their older comments by logging into their accounts on Vuukle.",migrated new commenting platform already registered user hindu logged may continue engage article account please register login post comment user access older comment logging account vuukle
Strategy,strategy
ESG and Business Sustainability Strategy,esg business sustainability strategy
"By - Vipul Arora, Partner, ESG & Climate Solutions at Sattva Consulting Author I Speaker I Thought Leader",vipul arora partner esg climate solution sattva consulting author speaker thought leader
Web Development,web development
"Intermediate Java Mastery: Method, Collections, and Beyond",intermediate java mastery method collection beyond
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Web Development,web development
JavaScript Essentials: Unlock AI-Driven Insights with ChatGPT,javascript essential unlock aidriven insight chatgpt
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Marketing,marketing
Modern Marketing Masterclass by Seth Godin,modern marketing masterclass seth godin
"By - Seth Godin, Former dot com Business Executive and Best Selling Author",seth godin former dot com business executive best selling author
Leadership,leadership
Business Storytelling Masterclass,business storytelling masterclass
"By - Ameen Haque, Founder of Storywallahs",ameen haque founder storywallahs
Office Productivity,office productivity
Advanced Excel Course - Financial Calculations & Excel Made Easy,advanced excel course financial calculation excel made easy
"By - Anirudh Saraf, Founder- Saraf A & Associates, Chartered Accountant",anirudh saraf founder saraf associate chartered accountant
Artificial Intelligence(AI),artificial intelligenceai
Master in Python Language Quickly Using the ChatGPT Open AI,master python language quickly using chatgpt open ai
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Marketing,marketing
Future of Marketing & Branding Masterclass,future marketing branding masterclass
"By - Dr. David Aaker, Professor Emeritus at the Haas School of Business, UC Berkeley, Author | Speaker | Thought Leader | Branding Consultant",dr david aaker professor emeritus haas school business uc berkeley author speaker thought leader branding consultant
Office Productivity,office productivity
Mastering Google Sheets: Unleash the Power of Excel and Advance Analysis,mastering google sheet unleash power excel advance analysis
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Artificial Intelligence(AI),artificial intelligenceai
Generative AI for Dynamic Java Web Applications with ChatGPT,generative ai dynamic java web application chatgpt
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Finance,finance
Financial Literacy i.e Lets Crack the Billionaire Code,financial literacy ie let crack billionaire code
"By - CA Rahul Gupta, CA with 10+ years of experience and Accounting Educator",ca rahul gupta ca year experience accounting educator
Web Development,web development
C++ Fundamentals for Absolute Beginners,c fundamental absolute beginner
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Artificial Intelligence(AI),artificial intelligenceai
Tabnine AI Masterclass: Optimize Your Coding Efficiency,tabnine ai masterclass optimize coding efficiency
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Data Science,data science
SQL Server Bootcamp 2024: Transform from Beginner to Pro,sql server bootcamp transform beginner pro
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Marketing,marketing
Performance Marketing for eCommerce Brands,performance marketing ecommerce brand
"By - Zafer Mukeri, Founder- Inara Marketers",zafer mukeri founder inara marketer
Marketing,marketing
Digital Marketing Masterclass by Neil Patel,digital marketing masterclass neil patel
"By - Neil Patel, Co-Founder and Author at Neil Patel Digital Digital Marketing Guru",neil patel cofounder author neil patel digital digital marketing guru
Web Development,web development
Java 21 Essentials for Beginners: Build Strong Programming Foundations,java essential beginner build strong programming foundation
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Web Development,web development
A Comprehensive ASP.NET Core MVC 6 Project Guide for 2024,comprehensive aspnet core mvc project guide
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
This is a modal window.,modal window
Beginning of dialog window. Escape will cancel and close the window.,beginning dialog window escape cancel close window
End of dialog window.,end dialog window
"(Catch all the Business News, Breaking News, Budget 2024 Events and Latest News Updates on The Economic Times.)",catch business news breaking news budget event latest news update economic time
Subscribe to The Economic Times Prime and read the ET ePaper online.,subscribe economic time prime read et epaper online
Top 10 things to know about Swiggy's upcoming IPO,top thing know swiggys upcoming ipo
Devotees were attacked at a Hindu temple in Canada,devotee attacked hindu temple canada
NMDC found support above 50-DMA on daily charts; time to buy?,nmdc found support dma daily chart time buy
US Polls: Democrats' plan revealed if Trump claims premature victory,u poll democrat plan revealed trump claim premature victory
"'Our relations disturbed…,' EAM on India-China border truce",relation disturbed eam indiachina border truce
Explained: Why power transfer happens in January in US,explained power transfer happens january u
J-K: Terrorists hurl grenade at busy Srinagar market,jk terrorist hurl grenade busy srinagar market
EAM shares funny anecdote when he was favourite 'passport' guy,eam share funny anecdote favourite passport guy
Mumbai Police reveals letter threatening CM Yogi,mumbai police reveals letter threatening cm yogi
Jharkhand Polls: Shah releases party's Sankalp Patra,jharkhand poll shah release party sankalp patra
Top 10 things to know about Swiggy's upcoming IPO,top thing know swiggys upcoming ipo
Devotees were attacked at a Hindu temple in Canada,devotee attacked hindu temple canada
NMDC found support above 50-DMA on daily charts; time to buy?,nmdc found support dma daily chart time buy
US Polls: Democrats' plan revealed if Trump claims premature victory,u poll democrat plan revealed trump claim premature victory
"'Our relations disturbed…,' EAM on India-China border truce",relation disturbed eam indiachina border truce
Explained: Why power transfer happens in January in US,explained power transfer happens january u
J-K: Terrorists hurl grenade at busy Srinagar market,jk terrorist hurl grenade busy srinagar market
EAM shares funny anecdote when he was favourite 'passport' guy,eam share funny anecdote favourite passport guy
Mumbai Police reveals letter threatening CM Yogi,mumbai police reveals letter threatening cm yogi
Jharkhand Polls: Shah releases party's Sankalp Patra,jharkhand poll shah release party sankalp patra
Hot on Web,hot web
In Case you missed it,case missed
Top Searched Companies,top searched company
Top Calculators,top calculator
Top Definitions,top definition
Top Prime Articles,top prime article
Top Market Pages,top market page
Top Story Listing,top story listing
Top Slideshow,top slideshow
Private Companies,private company
Top Commodities,top commodity
Latest News,latest news
Follow us on:,follow u
Find this comment offensive?,find comment offensive
Choose your reason below and click on the Report button. This will alert our moderators to take action,choose reason click report button alert moderator take action
Reason for reporting:,reason reporting
Your Reason has been Reported to the admin.,reason reported admin
Log In/Connect with:,log inconnect
Will be displayed,displayed
Will not be displayed,displayed
Will be displayed,displayed
Stories you might be interested in,story might interested
LoadingPlease wait...,loadingplease wait
"These cookies may be set through our site by our advertising partners. They may be used by those companies to build a profile of your interests and show you relevant adverts on other sites. They do not store directly personal information, but are based on uniquely identifying your browser and internet device. If you do not allow these cookies, you will experience less targeted advertising.",cooky may set site advertising partner may used company build profile interest show relevant advert site store directly personal information based uniquely identifying browser internet device allow cooky experience le targeted advertising
These cookies enable the website to provide enhanced functionality and personalisation. They may be set by us or by third party providers whose services we have added to our pages. If you do not allow these cookies then some or all of these services may not function properly.,cooky enable website provide enhanced functionality personalisation may set u third party provider whose service added page allow cooky service may function properly
"These cookies allow us to count visits and traffic sources so we can measure and improve the performance of our site. They help us to know which pages are the most and least popular and see how visitors move around the site. All information these cookies collect is aggregated and therefore anonymous. If you do not allow these cookies we will not know when you have visited our site, and will not be able to monitor its performance.",cooky allow u count visit traffic source measure improve performance site help u know page least popular see visitor move around site information cooky collect aggregated therefore anonymous allow cooky know visited site able monitor performance
"These cookies are necessary for the website to function and cannot be switched off in our systems. They are usually only set in response to actions made by you which amount to a request for services, such as setting your privacy preferences, logging in or filling in forms. You can set your browser to block or alert you about these cookies, but some parts of the site will not then work. These cookies do not store any personally identifiable information.",cooky necessary website function switched system usually set response action made amount request service setting privacy preference logging filling form set browser block alert cooky part site work cooky store personally identifiable information
,
To enjoy additional benefits,enjoy additional benefit
CONNECT WITH US,connect u
" Published - November 04, 2024 12:18 am IST - Mumbai",published november ist mumbai
"
                    Former Minister Nawab Malik says that Maharashtra Deputy CM and NCP chief Ajit Pawar will emerge as a key player after the November 20 Assembly polls. File Image 
                                          | Photo Credit: PTI
                                      ",former minister nawab malik say maharashtra deputy cm ncp chief ajit pawar emerge key player november assembly poll file image photo credit pti
"Maharashtra Deputy Chief Minister and NCP chief Ajit Pawar will emerge as a key player after the November 20 Assembly polls in the State, said former Minister Nawab Malik on Sunday.",maharashtra deputy chief minister ncp chief ajit pawar emerge key player november assembly poll state said former minister nawab malik sunday
"In an interview with PTI over the phone, the NCP candidate from Mumbai’s Mankhurd-Shivajinagar seat said the politics of ideology is over in Maharashtra and nobody knows who will side with which party.",interview pti phone ncp candidate mumbai mankhurdshivajinagar seat said politics ideology maharashtra nobody know side party
"“There are even speculations that NCP (SP) chief Sharad Pawar and Eknath Shinde, who heads the Shiv Sena, will join hands,” he claimed.",even speculation ncp sp chief sharad pawar eknath shinde head shiv sena join hand claimed
"Mr. Malik, who was arrested in a money laundering case and is also accused of having links with people close to fugitive gangster Dawood Ibrahim, is pitted against Samajwadi Party nominee and MVA-backed sitting MLA Abu Azmi and Shiv Sena’s Suresh Patil.",mr malik arrested money laundering case also accused link people close fugitive gangster dawood ibrahim pitted samajwadi party nominee mvabacked sitting mla abu azmi shiv senas suresh patil
" The Sena and the NCP are partners in the Mahayuti coalition, and leaders from the other constituent, BJP, have declared that they won’t campaign for Mr. Malik. The BJP has been a trenchant critic of Mr. Malik.",sena ncp partner mahayuti coalition leader constituent bjp declared wont campaign mr malik bjp trenchant critic mr malik
The 65-year-old politician said the Assembly polls will be a neck-and-neck contest between the ruling Mahayuti coalition and Opposition bloc Maha Vikas Aghadi (MVA) and NCP chief Ajit Pawar will emerge as a key player after the elections.,yearold politician said assembly poll neckandneck contest ruling mahayuti coalition opposition bloc maha vikas aghadi mva ncp chief ajit pawar emerge key player election
"Of the 288 Assembly seats in the State, the undivided NCP had won 54 seats last time.",assembly seat state undivided ncp seat last time
"Mr. Ajit split the Sharad Pawar-founded NCP last year after he and MLAs loyal to him joined Mahayuti. Mr. Ajit subsequently got the party’s name and ‘clock’ symbol. Sharad Pawar now heads the NCP (SP) and is a constituent of MVA, besides the Congress and the Shiv Sena (UBT).",mr ajit split sharad pawarfounded ncp last year mlas loyal joined mahayuti mr ajit subsequently got party name clock symbol sharad pawar head ncp sp constituent mva besides congress shiv sena ubt
"Mr. Malik said he is grateful to the then Chief Minister Uddhav Thackeray and Sharad Pawar for not seeking his resignation as Minister after his arrest in 2022, when MVA was in power. “I have already said I am grateful to them. I spoke to Uddhav ji over the phone after my release from jail and met Pawar saheb personally,” he told PTI.",mr malik said grateful chief minister uddhav thackeray sharad pawar seeking resignation minister arrest mva power already said grateful spoke uddhav ji phone release jail met pawar saheb personally told pti
" Mr. Malik said he is with Ajit Pawar as the deputy CM stood by him during difficult times, but did not elaborate. He accused his rival and sitting MLA Abu Asim Azmi of being hand in glove with the government. “He voted for them in the legislative council and Rajya Sabha elections. He controls the local administration in the constituency,” Mr. Malik claimed.",mr malik said ajit pawar deputy cm stood difficult time elaborate accused rival sitting mla abu asim azmi hand glove government voted legislative council rajya sabha election control local administration constituency mr malik claimed
"In the Lok Sabha election held earlier this year, the Mahayuti candidate from the Mumbai North seat got only 28,000 votes from the Mankhurd-Shivajinagar Assembly segment, he said. “You can’t win the Assembly elections with 28,000 votes. It’s true that Mahayuti has put up a candidate (Sena’s Suresh Patil) there, but I’m not in the fray out of my own will but that of the people. I am confident that I will be elected,” Mr. Malik said.",lok sabha election held earlier year mahayuti candidate mumbai north seat got vote mankhurdshivajinagar assembly segment said cant win assembly election vote true mahayuti put candidate senas suresh patil im fray people confident elected mr malik said
"“People of Mankhurd-Shivajinagar want me to end the reign of anti-social elements and drug menace under the current MLA for the last 15 years,” he said.",people mankhurdshivajinagar want end reign antisocial element drug menace current mla last year said
   	The NCP leader said he has been on medical bail since July last year until the disposal of his regular bail plea before the Bombay High Court in the money laundering case,ncp leader said medical bail since july last year disposal regular bail plea bombay high court money laundering case
"   	The NCP has also nominated Mr. Malik’s daughter Sana Malik from the Anushakti Nagar constituency in north Mumbai, a seat which he represented multiple times in the past. The BJP has made it clear that it will not campaign for Nawab Malik, but has no objection to his daughter’s candidature.",ncp also nominated mr malik daughter sana malik anushakti nagar constituency north mumbai seat represented multiple time past bjp made clear campaign nawab malik objection daughter candidature
Polling for the 288 seats in the Maharashtra Assembly will be held on November 20 and votes will be counted on November 23. ,polling seat maharashtra assembly held november vote counted november
" Published - November 04, 2024 12:18 am IST",published november ist
"
                        Maharashtra Assembly Elections 2024
                    
                            /                      
                        
                        Maharashtra
                    
                            /                      
                        
                        Nationalist Congress Party
                    ",maharashtra assembly election maharashtra nationalist congress party
"
					Copyright© 2024, THG PUBLISHING PVT LTD. or its affiliated companies. All rights reserved.
				",copyright thg publishing pvt ltd affiliated company right reserved
BACK TO TOP,back top
Terms & conditions  |  Institutional Subscriber,term condition institutional subscriber
"Comments have to be in English, and in full sentences. They cannot be abusive or personal. Please abide by our community guidelines   for posting your comments. ",comment english full sentence abusive personal please abide community guideline posting comment
"We have migrated to a new commenting platform. If you are already a registered user of The Hindu and logged in, you may continue to engage with our articles. If you do not have an account please register and login to post comments. Users can access their older comments by logging into their accounts on Vuukle.",migrated new commenting platform already registered user hindu logged may continue engage article account please register login post comment user access older comment logging account vuukle
To enjoy additional benefits,enjoy additional benefit
CONNECT WITH US,connect u
"Updated  - October 21, 2024 04:28 am IST ",updated october ist
"
                    Students paint posters urging voters to vote for the Lok Sabha election 2024. File picture used for representation.
                                          | Photo Credit: The Hindu
                                      ",student paint poster urging voter vote lok sabha election file picture used representation photo credit hindu
"The State of Bombay was bifurcated in 1960 into the Marathi-speaking Maharashtra and the Gujarati-speaking Gujarat.
",state bombay bifurcated marathispeaking maharashtra gujaratispeaking gujarat
"Balasaheb Thackeray’s satirical cartoons on anti-migrant sentiments gained steam with the local population which led to the formation of the Shiv Sena in 1966. Since then, the “Marathi first” identity has gained traction, including the “Marathi Manus” sentiment. This identity has strong following in Mumbai, Pune, and the Konkan coastal areas.
",balasaheb thackeray satirical cartoon antimigrant sentiment gained steam local population led formation shiv sena since marathi first identity gained traction including marathi manus sentiment identity strong following mumbai pune konkan coastal area
"Unemployed youth were drawn to this demand for employment for local people at the expense of migrants from South India and Uttar Pradesh.
",unemployed youth drawn demand employment local people expense migrant south india uttar pradesh
Maharashtra Assembly elections: Full coverage,maharashtra assembly election full coverage
"The 1970s saw the transformation of the Shiv Sena to a pro-Hindutva party. The core base continued to be the supporters of the Marathi-first identity with the newer base coming from the pro-Hindutva voters. The Shiv Sena’s pro-Hindutva position led to a long association with the Bharatiya Janata Party, resulting in it being one of the founding members of the National Democratic Alliance in 1998.
",saw transformation shiv sena prohindutva party core base continued supporter marathifirst identity newer base coming prohindutva voter shiv senas prohindutva position led long association bharatiya janata party resulting one founding member national democratic alliance
"After the Shiv Sena split into the Shiv Sena (UBT), led by Uddhav Thackeray, and the Shiv Sena led by Chief Minister Eknath Shinde, the Marathi base continues to be strongly with the faction led by Mr. Thackeray and the pro-Hindutva base being equally distributed between the two factions.
",shiv sena split shiv sena ubt led uddhav thackeray shiv sena led chief minister eknath shinde marathi base continues strongly faction led mr thackeray prohindutva base equally distributed two faction
"The BJP, by itself, has been a favoured choice for the pro-Hindutva base as can be evidenced from the electoral trends till 2019.
",bjp favoured choice prohindutva base evidenced electoral trend till
"In order to ascertain the mood of the respondents, they were asked the following question: Some people say that they are Maharashtrians first and Indian later, while some others say that they are Indian in the first place. What do you think? Are you a Maharashtrian first or an Indian first?",order ascertain mood respondent asked following question people say maharashtrians first indian later others say indian first place think maharashtrian first indian first
"From the responses, we find that the national identity has overshadowed the regional identity significantly.
",response find national identity overshadowed regional identity significantly
"Close to six in 10 (58%) respondents believe that they are Indian first, Maharashtrian later as compared with two in 10 (22%) who believe that they are Maharashtrian first, Indian later. A little over one-sixth (15%) of the respondents favoured “equally both” identities.
",close six respondent believe indian first maharashtrian later compared two believe maharashtrian first indian later little onesixth respondent favoured equally identity
"When probed further, it was found that those who prioritise their regional identity are more likely to believe that the government has not worked to promote the Marathi culture.
",probed found prioritise regional identity likely believe government worked promote marathi culture
A higher percentage of those who supported the “India first” identity (53%) felt that the government has promoted Marathi culture compared with those who supported the “Maharashtrian first” identity (47%).,higher percentage supported india first identity felt government promoted marathi culture compared supported maharashtrian first identity
" Published - October 21, 2024 03:50 am IST",published october ist
"
                        Maharashtra
                    
                            /                      
                        
                        Maharashtra Assembly Elections 2024
                    
                            /                      
                        
                        Assembly Elections
                    ",maharashtra maharashtra assembly election assembly election
"
					Copyright© 2024, THG PUBLISHING PVT LTD. or its affiliated companies. All rights reserved.
				",copyright thg publishing pvt ltd affiliated company right reserved
BACK TO TOP,back top
Terms & conditions  |  Institutional Subscriber,term condition institutional subscriber
"Comments have to be in English, and in full sentences. They cannot be abusive or personal. Please abide by our community guidelines   for posting your comments. ",comment english full sentence abusive personal please abide community guideline posting comment
"We have migrated to a new commenting platform. If you are already a registered user of The Hindu and logged in, you may continue to engage with our articles. If you do not have an account please register and login to post comments. Users can access their older comments by logging into their accounts on Vuukle.",migrated new commenting platform already registered user hindu logged may continue engage article account please register login post comment user access older comment logging account vuukle
Marketing,marketing
Performance Marketing for eCommerce Brands,performance marketing ecommerce brand
"By - Zafer Mukeri, Founder- Inara Marketers",zafer mukeri founder inara marketer
Web Development,web development
Django & PostgreSQL Mastery: Build Professional Web Applications,django postgresql mastery build professional web application
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Office Productivity,office productivity
Zero to Hero in Microsoft Excel: Complete Excel guide 2024,zero hero microsoft excel complete excel guide
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Office Productivity,office productivity
Mastering Google Sheets: Unleash the Power of Excel and Advance Analysis,mastering google sheet unleash power excel advance analysis
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Artificial Intelligence(AI),artificial intelligenceai
Master in Python Language Quickly Using the ChatGPT Open AI,master python language quickly using chatgpt open ai
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Artificial Intelligence(AI),artificial intelligenceai
Mastering C++ Fundamentals with Generative AI: A Hands-On,mastering fundamental generative ai handson
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Artificial Intelligence(AI),artificial intelligenceai
AI and Analytics based Business Strategy,ai analytics based business strategy
"By - Tanusree De, Managing Director- Accenture Technology Lead, Trustworthy AI Center of Excellence: ATCI",tanusree de managing director accenture technology lead trustworthy ai center excellence atci
Web Development,web development
Java 21 Essentials for Beginners: Build Strong Programming Foundations,java essential beginner build strong programming foundation
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Marketing,marketing
Digital Marketing Masterclass by Neil Patel,digital marketing masterclass neil patel
"By - Neil Patel, Co-Founder and Author at Neil Patel Digital Digital Marketing Guru",neil patel cofounder author neil patel digital digital marketing guru
Artificial Intelligence(AI),artificial intelligenceai
Tabnine AI Masterclass: Optimize Your Coding Efficiency,tabnine ai masterclass optimize coding efficiency
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Web Development,web development
Advanced Java Mastery: Object-Oriented Programming Techniques,advanced java mastery objectoriented programming technique
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Marketing,marketing
Digital Marketing Masterclass by Pam Moore,digital marketing masterclass pam moore
"By - Pam Moore, Digital Transformation and Social Media Expert",pam moore digital transformation social medium expert
Marketing,marketing
Future of Marketing & Branding Masterclass,future marketing branding masterclass
"By - Dr. David Aaker, Professor Emeritus at the Haas School of Business, UC Berkeley, Author | Speaker | Thought Leader | Branding Consultant",dr david aaker professor emeritus haas school business uc berkeley author speaker thought leader branding consultant
Finance,finance
A2Z Of Money,az money
"By - elearnmarkets, Financial Education by StockEdge",elearnmarkets financial education stockedge
Marketing,marketing
Digital marketing - Wordpress Website Development,digital marketing wordpress website development
"By - Shraddha Somani, Digital Marketing Trainer, Consultant, Strategiest and Subject Matter expert",shraddha somani digital marketing trainer consultant strategiest subject matter expert
Office Productivity,office productivity
Advanced Excel Course - Financial Calculations & Excel Made Easy,advanced excel course financial calculation excel made easy
"By - Anirudh Saraf, Founder- Saraf A & Associates, Chartered Accountant",anirudh saraf founder saraf associate chartered accountant
Data Science,data science
